data,fascia_eta,dosi_somministrate_prima,dosi_somministrate_seconda,dosi_somministrate_tot,dosi_somministrate_prima_per_1k_abitanti,dosi_somministrate_seconda_per_1k_abitanti,data_ultimo_check
2021-03-02T10:57:53,16-19,3033,1462,4495,1.31,0.63,2021-03-02T12:12:02
2021-03-02T10:57:53,20-29,256840,146684,403524,41.71,23.82,2021-03-02T12:12:02
2021-03-02T10:57:53,30-39,368925,217571,586496,53.06,31.29,2021-03-02T12:12:02
2021-03-02T10:57:53,40-49,488715,271610,760325,54.06,30.05,2021-03-02T12:12:02
2021-03-02T10:57:53,50-59,604289,363738,968027,63.6,38.28,2021-03-02T12:12:02
2021-03-02T10:57:53,60-69,340277,227003,567280,45.83,30.57,2021-03-02T12:12:02
2021-03-02T10:57:53,70-79,95361,54145,149506,15.88,9.01,2021-03-02T12:12:02
2021-03-02T10:57:53,80-89,653789,82324,736113,179.24,22.57,2021-03-02T12:12:02
2021-03-02T10:57:53,90+,198225,60140,258365,249.47,75.69,2021-03-02T12:12:02
2021-03-02T10:57:53,16+,3009454,1424677,4434131,58.04,27.48,2021-03-02T12:12:02
