data,fascia_eta,dosi_somministrate_prima,dosi_somministrate_seconda,dosi_somministrate_tot,dosi_somministrate_prima_per_1k_abitanti,dosi_somministrate_seconda_per_1k_abitanti,data_ultimo_check
2021-04-18T15:05:57,16-19,17121,5783,22904,7.37,2.49,2021-04-18T20:16:02
2021-04-18T15:05:57,20-29,499401,259000,758401,81.11,42.06,2021-04-18T20:16:02
2021-04-18T15:05:57,30-39,734456,345274,1079730,105.64,49.66,2021-04-18T20:16:02
2021-04-18T15:05:57,40-49,1055234,432200,1487434,116.73,47.81,2021-04-18T20:16:02
2021-04-18T15:05:57,50-59,1411255,573737,1984992,148.53,60.39,2021-04-18T20:16:02
2021-04-18T15:05:57,60-69,1265347,417451,1682798,170.41,56.22,2021-04-18T20:16:02
2021-04-18T15:05:57,70-79,2124573,242651,2367224,353.69,40.4,2021-04-18T20:16:02
2021-04-18T15:05:57,80-89,2917470,1743630,4661100,799.86,478.04,2021-04-18T20:16:02
2021-04-18T15:05:57,90+,631611,423583,1055194,794.91,533.1,2021-04-18T20:16:02
2021-04-18T15:05:57,16+,10656468,4443309,15099777,205.54,85.7,2021-04-18T20:16:02
