data,fascia_eta,dosi_somministrate_prima,dosi_somministrate_seconda,dosi_somministrate_tot,dosi_somministrate_prima_per_1k_abitanti,dosi_somministrate_seconda_per_1k_abitanti,data_ultimo_check
2021-05-19T03:41:33,16-19,2884,1074,3958,1.24,0.46,2021-05-19T10:22:02
2021-05-19T03:41:33,20-29,42448,28239,70687,6.89,4.59,2021-05-19T10:22:02
2021-05-19T03:41:33,30-39,62202,36681,98883,8.95,5.28,2021-05-19T10:22:02
2021-05-19T03:41:33,40-49,89521,48210,137731,9.9,5.33,2021-05-19T10:22:02
2021-05-19T03:41:33,50-59,159570,63664,223234,16.79,6.7,2021-05-19T10:22:02
2021-05-19T03:41:33,60-69,223906,55644,279550,30.15,7.49,2021-05-19T10:22:02
2021-05-19T03:41:33,70-79,192596,57129,249725,32.06,9.51,2021-05-19T10:22:02
2021-05-19T03:41:33,80-89,173837,145619,319456,47.66,39.92,2021-05-19T10:22:02
2021-05-19T03:41:33,90+,46119,32013,78132,58.04,40.29,2021-05-19T10:22:02
2021-05-19T03:41:33,16+,993083,468273,1461356,19.15,9.03,2021-05-19T10:22:02
