data,fascia_eta,dosi_somministrate_prima,dosi_somministrate_seconda,dosi_somministrate_tot,dosi_somministrate_prima_per_1k_abitanti,dosi_somministrate_seconda_per_1k_abitanti,data_ultimo_check
2021-03-28T04:01:15,16-19,7144,3098,10242,3.08,1.33,2021-03-28T08:30:02
2021-03-28T04:01:15,20-29,394602,229025,623627,64.09,37.2,2021-03-28T08:30:02
2021-03-28T04:01:15,30-39,595727,307221,902948,85.68,44.19,2021-03-28T08:30:02
2021-03-28T04:01:15,40-49,838213,377710,1215923,92.72,41.78,2021-03-28T08:30:02
2021-03-28T04:01:15,50-59,1078498,492205,1570703,113.51,51.8,2021-03-28T08:30:02
2021-03-28T04:01:15,60-69,670640,319996,990636,90.32,43.1,2021-03-28T08:30:02
2021-03-28T04:01:15,70-79,425225,99311,524536,70.79,16.53,2021-03-28T08:30:02
2021-03-28T04:01:15,80-89,1831427,844846,2676273,502.11,231.62,2021-03-28T08:30:02
2021-03-28T04:01:15,90+,449347,246658,696005,565.52,310.43,2021-03-28T08:30:02
2021-03-28T04:01:15,16+,6290823,2920070,9210893,121.33,56.32,2021-03-28T08:30:02
