data,fascia_eta,dosi_somministrate_prima,dosi_somministrate_seconda,dosi_somministrate_tot,dosi_somministrate_prima_per_1k_abitanti,dosi_somministrate_seconda_per_1k_abitanti,data_ultimo_check
2021-05-15T15:12:50,16-19,51649,17738,69387,22.24,7.64,2021-05-15T21:00:02
2021-05-15T15:12:50,20-29,704548,356002,1060550,114.43,57.82,2021-05-15T21:00:02
2021-05-15T15:12:50,30-39,975467,490568,1466035,140.3,70.56,2021-05-15T21:00:02
2021-05-15T15:12:50,40-49,1469631,687387,2157018,162.57,76.04,2021-05-15T21:00:02
2021-05-15T15:12:50,50-59,2592601,953216,3545817,272.87,100.33,2021-05-15T21:00:02
2021-05-15T15:12:50,60-69,4157173,921638,5078811,559.88,124.12,2021-05-15T21:00:02
2021-05-15T15:12:50,70-79,4568473,1224459,5792932,760.55,203.84,2021-05-15T21:00:02
2021-05-15T15:12:50,80-89,3268336,2881578,6149914,896.05,790.02,2021-05-15T21:00:02
2021-05-15T15:12:50,90+,743514,618652,1362166,935.74,778.6,2021-05-15T21:00:02
2021-05-15T15:12:50,16+,18531392,8151238,26682630,357.42,157.22,2021-05-15T21:00:02
