data,fascia_eta,dosi_somministrate,popolazione,dosi_somministrate_per_1k_abitanti,data_ultimo_check
2021-01-08T22:59:26,16-19,583,2322160,0.25,2021-01-08T23:58:02
2021-01-08T22:59:26,20-29,49131,6157183,7.98,2021-01-08T23:58:02
2021-01-08T22:59:26,30-39,81274,6952720,11.69,2021-01-08T23:58:02
2021-01-08T22:59:26,40-49,104595,9039799,11.57,2021-01-08T23:58:02
2021-01-08T22:59:26,50-59,136316,9501180,14.35,2021-01-08T23:58:02
2021-01-08T22:59:26,60-69,73892,7425175,9.95,2021-01-08T23:58:02
2021-01-08T22:59:26,70-79,9366,6006830,1.56,2021-01-08T23:58:02
2021-01-08T22:59:26,80-89,12247,3647476,3.36,2021-01-08T23:58:02
2021-01-08T22:59:26,90+,9507,794572,11.96,2021-01-08T23:58:02
2021-01-08T22:59:26,16+,476911,51847095,9.2,2021-01-08T23:58:02
