data,fascia_eta,dosi_somministrate_prima,dosi_somministrate_seconda,dosi_somministrate_tot,dosi_somministrate_prima_per_1k_abitanti,dosi_somministrate_seconda_per_1k_abitanti,data_ultimo_check
2021-04-15T18:50:59,16-19,15192,5154,20346,6.54,2.22,2021-04-16T03:00:02
2021-04-15T18:50:59,20-29,487234,254136,741370,79.13,41.27,2021-04-16T03:00:02
2021-04-15T18:50:59,30-39,718479,338929,1057408,103.34,48.75,2021-04-16T03:00:02
2021-04-15T18:50:59,40-49,1027220,422389,1449609,113.63,46.73,2021-04-16T03:00:02
2021-04-15T18:50:59,50-59,1362152,557096,1919248,143.37,58.63,2021-04-16T03:00:02
2021-04-15T18:50:59,60-69,1116187,394540,1510727,150.32,53.14,2021-04-16T03:00:02
2021-04-15T18:50:59,70-79,1787503,202695,1990198,297.58,33.74,2021-04-16T03:00:02
2021-04-15T18:50:59,80-89,2825746,1630621,4456367,774.71,447.05,2021-04-16T03:00:02
2021-04-15T18:50:59,90+,610241,404337,1014578,768.01,508.87,2021-04-16T03:00:02
2021-04-15T18:50:59,16+,9949954,4209897,14159851,191.91,81.2,2021-04-16T03:00:02
