data,fascia_eta,dosi_somministrate_prima,dosi_somministrate_seconda,dosi_somministrate_tot,dosi_somministrate_prima_per_1k_abitanti,dosi_somministrate_seconda_per_1k_abitanti,data_ultimo_check
2021-01-23T15:28:49,16-19,1299,15,1314,0.56,0.01,2021-01-23T16:42:01
2021-01-23T15:28:49,20-29,130933,4824,135757,21.27,0.78,2021-01-23T16:42:01
2021-01-23T15:28:49,30-39,196302,10677,206979,28.23,1.54,2021-01-23T16:42:01
2021-01-23T15:28:49,40-49,245677,13598,259275,27.18,1.5,2021-01-23T16:42:01
2021-01-23T15:28:49,50-59,330684,17824,348508,34.8,1.88,2021-01-23T16:42:01
2021-01-23T15:28:49,60-69,203339,10955,214294,27.39,1.48,2021-01-23T16:42:01
2021-01-23T15:28:49,70-79,45692,1068,46760,7.61,0.18,2021-01-23T16:42:01
2021-01-23T15:28:49,80-89,65195,1548,66743,17.87,0.42,2021-01-23T16:42:01
2021-01-23T15:28:49,90+,50042,1373,51415,62.98,1.73,2021-01-23T16:42:01
2021-01-23T15:28:49,16+,1269163,61882,1331045,24.48,1.19,2021-01-23T16:42:01
