data,fascia_eta,dosi_somministrate_prima,dosi_somministrate_seconda,dosi_somministrate_tot,dosi_somministrate_prima_per_1k_abitanti,dosi_somministrate_seconda_per_1k_abitanti,data_ultimo_check
2021-05-22T15:13:15,16-19,66045,23931,89976,28.44,10.31,2021-05-22T18:46:02
2021-05-22T15:13:15,20-29,789395,407020,1196415,128.21,66.1,2021-05-22T18:46:02
2021-05-22T15:13:15,30-39,1068771,571038,1639809,153.72,82.13,2021-05-22T18:46:02
2021-05-22T15:13:15,40-49,1727409,828241,2555650,191.09,91.62,2021-05-22T18:46:02
2021-05-22T15:13:15,50-59,3329356,1183832,4513188,350.42,124.6,2021-05-22T18:46:02
2021-05-22T15:13:15,60-69,4806778,1289709,6096487,647.36,173.69,2021-05-22T18:46:02
2021-05-22T15:13:15,70-79,4794135,1588373,6382508,798.11,264.43,2021-05-22T18:46:02
2021-05-22T15:13:15,80-89,3309106,2969299,6278405,907.23,814.07,2021-05-22T18:46:02
2021-05-22T15:13:15,90+,756411,649179,1405590,951.97,817.02,2021-05-22T18:46:02
2021-05-22T15:13:15,16+,20647406,9510622,30158028,398.24,183.44,2021-05-22T18:46:02
