data,fascia_eta,dosi_somministrate,popolazione,dosi_somministrate_per_1k_abitanti,data_ultimo_check
2021-01-14T23:39:14,16-19,2461,2322160,1.06,2021-01-14T23:58:01
2021-01-14T23:39:14,20-29,106811,6157183,17.35,2021-01-14T23:58:01
2021-01-14T23:39:14,30-39,154858,6952720,22.27,2021-01-14T23:58:01
2021-01-14T23:39:14,40-49,200200,9039799,22.15,2021-01-14T23:58:01
2021-01-14T23:39:14,50-59,261210,9501180,27.49,2021-01-14T23:58:01
2021-01-14T23:39:14,60-69,147484,7425175,19.86,2021-01-14T23:58:01
2021-01-14T23:39:14,70-79,27272,6006830,4.54,2021-01-14T23:58:01
2021-01-14T23:39:14,80-89,34647,3647476,9.5,2021-01-14T23:58:01
2021-01-14T23:39:14,90+,25895,794572,32.59,2021-01-14T23:58:01
2021-01-14T23:39:14,16+,960838,51847095,18.53,2021-01-14T23:58:01
