data,fascia_eta,dosi_somministrate_prima,dosi_somministrate_seconda,dosi_somministrate_tot,dosi_somministrate_prima_per_1k_abitanti,dosi_somministrate_seconda_per_1k_abitanti,data_ultimo_check
2021-03-04T14:31:11,16-19,3214,1598,4812,1.38,0.69,2021-03-04T17:44:02
2021-03-04T14:31:11,20-29,268662,158145,426807,43.63,25.68,2021-03-04T17:44:02
2021-03-04T14:31:11,30-39,390303,229467,619770,56.14,33.0,2021-03-04T17:44:02
2021-03-04T14:31:11,40-49,524950,285441,810391,58.07,31.58,2021-03-04T17:44:02
2021-03-04T14:31:11,50-59,658033,381148,1039181,69.26,40.12,2021-03-04T17:44:02
2021-03-04T14:31:11,60-69,371338,239325,610663,50.01,32.23,2021-03-04T17:44:02
2021-03-04T14:31:11,70-79,101343,59005,160348,16.87,9.82,2021-03-04T17:44:02
2021-03-04T14:31:11,80-89,775880,98572,874452,212.72,27.02,2021-03-04T17:44:02
2021-03-04T14:31:11,90+,230646,64923,295569,290.28,81.71,2021-03-04T17:44:02
2021-03-04T14:31:11,16+,3324369,1517624,4841993,64.12,29.27,2021-03-04T17:44:02
