data,fascia_eta,dosi_somministrate_prima,dosi_somministrate_seconda,dosi_somministrate_tot,dosi_somministrate_prima_per_1k_abitanti,dosi_somministrate_seconda_per_1k_abitanti,data_ultimo_check
2021-04-01T04:01:22,16-19,8485,3405,11890,3.65,1.47,2021-04-01T11:02:02
2021-04-01T04:01:22,20-29,420147,234320,654467,68.24,38.06,2021-04-01T11:02:02
2021-04-01T04:01:22,30-39,630741,313257,943998,90.72,45.06,2021-04-01T11:02:02
2021-04-01T04:01:22,40-49,887971,385729,1273700,98.23,42.67,2021-04-01T11:02:02
2021-04-01T04:01:22,50-59,1149075,502757,1651832,120.94,52.92,2021-04-01T11:02:02
2021-04-01T04:01:22,60-69,750612,329603,1080215,101.09,44.39,2021-04-01T11:02:02
2021-04-01T04:01:22,70-79,624040,108365,732405,103.89,18.04,2021-04-01T11:02:02
2021-04-01T04:01:22,80-89,2047573,1027143,3074716,561.37,281.6,2021-04-01T11:02:02
2021-04-01T04:01:22,90+,488016,288044,776060,614.19,362.51,2021-04-01T11:02:02
2021-04-01T04:01:22,16+,7006660,3192623,10199283,135.14,61.58,2021-04-01T11:02:02
