data,fascia_eta,dosi_somministrate_prima,dosi_somministrate_seconda,dosi_somministrate_tot,dosi_somministrate_prima_per_1k_abitanti,dosi_somministrate_seconda_per_1k_abitanti,data_ultimo_check
2021-02-26T07:01:16,16-19,2727,1357,4084,1.17,0.58,2021-02-26T11:24:02
2021-02-26T07:01:16,20-29,239392,138928,378320,38.88,22.56,2021-02-26T11:24:02
2021-02-26T07:01:16,30-39,337733,208829,546562,48.58,30.04,2021-02-26T11:24:02
2021-02-26T07:01:16,40-49,435922,261397,697319,48.22,28.92,2021-02-26T11:24:02
2021-02-26T07:01:16,50-59,534470,351309,885779,56.25,36.98,2021-02-26T11:24:02
2021-02-26T07:01:16,60-69,307458,218814,526272,41.41,29.47,2021-02-26T11:24:02
2021-02-26T07:01:16,70-79,89764,51201,140965,14.94,8.52,2021-02-26T11:24:02
2021-02-26T07:01:16,80-89,480070,74125,554195,131.62,20.32,2021-02-26T11:24:02
2021-02-26T07:01:16,90+,160330,56899,217229,201.78,71.61,2021-02-26T11:24:02
2021-02-26T07:01:16,16+,2587866,1362859,3950725,49.91,26.29,2021-02-26T11:24:02
