data,fascia_eta,dosi_somministrate_prima,dosi_somministrate_seconda,dosi_somministrate_tot,dosi_somministrate_prima_per_1k_abitanti,dosi_somministrate_seconda_per_1k_abitanti,data_ultimo_check
2021-01-17T23:30:00,16-19,3299,0,3299,1.42,0.0,2021-01-17T23:58:02
2021-01-17T23:30:00,20-29,131940,220,132160,21.43,0.04,2021-01-17T23:58:02
2021-01-17T23:30:00,30-39,181003,404,181407,26.03,0.06,2021-01-17T23:58:02
2021-01-17T23:30:00,40-49,234558,497,235055,25.95,0.05,2021-01-17T23:58:02
2021-01-17T23:30:00,50-59,305031,709,305740,32.1,0.07,2021-01-17T23:58:02
2021-01-17T23:30:00,60-69,173327,440,173767,23.34,0.06,2021-01-17T23:58:02
2021-01-17T23:30:00,70-79,35856,19,35875,5.97,0.0,2021-01-17T23:58:02
2021-01-17T23:30:00,80-89,51169,3,51172,14.03,0.0,2021-01-17T23:58:02
2021-01-17T23:30:00,90+,33962,5,33967,42.74,0.01,2021-01-17T23:58:02
2021-01-17T23:30:00,16+,1150145,2297,1152442,22.18,0.04,2021-01-17T23:58:02
