data,fascia_eta,dosi_somministrate_prima,dosi_somministrate_seconda,dosi_somministrate_tot,dosi_somministrate_prima_per_1k_abitanti,dosi_somministrate_seconda_per_1k_abitanti,data_ultimo_check
2021-02-10T06:30:20,16-19,1587,1170,2757,0.68,0.5,2021-02-10T10:18:01
2021-02-10T06:30:20,20-29,153653,126056,279709,24.96,20.47,2021-02-10T10:18:01
2021-02-10T06:30:20,30-39,224965,190505,415470,32.36,27.4,2021-02-10T10:18:01
2021-02-10T06:30:20,40-49,281005,237524,518529,31.09,26.28,2021-02-10T10:18:01
2021-02-10T06:30:20,50-59,374942,320687,695629,39.46,33.75,2021-02-10T10:18:01
2021-02-10T06:30:20,60-69,232984,200093,433077,31.38,26.95,2021-02-10T10:18:01
2021-02-10T06:30:20,70-79,57415,41601,99016,9.56,6.93,2021-02-10T10:18:01
2021-02-10T06:30:20,80-89,93102,54364,147466,25.53,14.9,2021-02-10T10:18:01
2021-02-10T06:30:20,90+,65703,42139,107842,82.69,53.03,2021-02-10T10:18:01
2021-02-10T06:30:20,16+,1485356,1214139,2699495,28.65,23.42,2021-02-10T10:18:01
