data,fascia_eta,dosi_somministrate_prima,dosi_somministrate_seconda,dosi_somministrate_tot,dosi_somministrate_prima_per_1k_abitanti,dosi_somministrate_seconda_per_1k_abitanti,data_ultimo_check
2021-04-30T04:12:08,16-19,26780,8814,35594,11.53,3.8,2021-04-30T09:32:02
2021-04-30T04:12:08,20-29,558834,281768,840602,90.76,45.76,2021-04-30T09:32:02
2021-04-30T04:12:08,30-39,809536,376001,1185537,116.43,54.08,2021-04-30T09:32:02
2021-04-30T04:12:08,40-49,1186352,484723,1671075,131.24,53.62,2021-04-30T09:32:02
2021-04-30T04:12:08,50-59,1639836,662665,2302501,172.59,69.75,2021-04-30T09:32:02
2021-04-30T04:12:08,60-69,2160884,549743,2710627,291.02,74.04,2021-04-30T09:32:02
2021-04-30T04:12:08,70-79,3480887,496476,3977363,579.49,82.65,2021-04-30T09:32:02
2021-04-30T04:12:08,80-89,3142892,2339198,5482090,861.66,641.32,2021-04-30T09:32:02
2021-04-30T04:12:08,90+,701389,511837,1213226,882.73,644.17,2021-04-30T09:32:02
2021-04-30T04:12:08,16+,13707390,5711225,19418615,264.38,110.16,2021-04-30T09:32:02
