data,fascia_eta,dosi_somministrate,popolazione,dosi_somministrate_per_1k_abitanti,data_ultimo_check
2021-01-19T08:55:42,16-19,3619,2322160,1.56,2021-01-19T09:30:01
2021-01-19T08:55:42,20-29,133795,6157183,21.73,2021-01-19T09:30:01
2021-01-19T08:55:42,30-39,183282,6952720,26.36,2021-01-19T09:30:01
2021-01-19T08:55:42,40-49,237728,9039799,26.3,2021-01-19T09:30:01
2021-01-19T08:55:42,50-59,308866,9501180,32.51,2021-01-19T09:30:01
2021-01-19T08:55:42,60-69,175491,7425175,23.63,2021-01-19T09:30:01
2021-01-19T08:55:42,70-79,36753,6006830,6.12,2021-01-19T09:30:01
2021-01-19T08:55:42,80-89,52938,3647476,14.51,2021-01-19T09:30:01
2021-01-19T08:55:42,90+,34551,794572,43.48,2021-01-19T09:30:01
2021-01-19T08:55:42,16+,1167023,51847095,22.51,2021-01-19T09:30:01
