data,fascia_eta,dosi_somministrate_prima,dosi_somministrate_seconda,dosi_somministrate_tot,dosi_somministrate_prima_per_1k_abitanti,dosi_somministrate_seconda_per_1k_abitanti,data_ultimo_check
2021-05-16T04:13:04,16-19,53446,18127,71573,23.02,7.81,2021-05-16T09:20:01
2021-05-16T04:13:04,20-29,713791,359167,1072958,115.93,58.33,2021-05-16T09:20:01
2021-05-16T04:13:04,30-39,985727,495840,1481567,141.78,71.32,2021-05-16T09:20:01
2021-05-16T04:13:04,40-49,1493519,697109,2190628,165.22,77.12,2021-05-16T09:20:01
2021-05-16T04:13:04,50-59,2671795,966729,3638524,281.21,101.75,2021-05-16T09:20:01
2021-05-16T04:13:04,60-69,4238968,941434,5180402,570.89,126.79,2021-05-16T09:20:01
2021-05-16T04:13:04,70-79,4591555,1254400,5845955,764.39,208.83,2021-05-16T09:20:01
2021-05-16T04:13:04,80-89,3271860,2891296,6163156,897.02,792.68,2021-05-16T09:20:01
2021-05-16T04:13:04,90+,744549,621804,1366353,937.04,782.56,2021-05-16T09:20:01
2021-05-16T04:13:04,16+,18765210,8245906,27011116,361.93,159.04,2021-05-16T09:20:01
