data,fascia_eta,dosi_somministrate_prima,dosi_somministrate_seconda,dosi_somministrate_tot,dosi_somministrate_prima_per_1k_abitanti,dosi_somministrate_seconda_per_1k_abitanti,data_ultimo_check
2021-03-05T18:30:54,16-19,3380,1698,5078,1.46,0.73,2021-03-06T05:38:02
2021-03-05T18:30:54,20-29,276570,167073,443643,44.92,27.13,2021-03-06T05:38:02
2021-03-05T18:30:54,30-39,404925,238697,643622,58.24,34.33,2021-03-06T05:38:02
2021-03-05T18:30:54,40-49,549362,296236,845598,60.77,32.77,2021-03-06T05:38:02
2021-03-05T18:30:54,50-59,693206,393808,1087014,72.96,41.45,2021-03-06T05:38:02
2021-03-05T18:30:54,60-69,391134,247756,638890,52.68,33.37,2021-03-06T05:38:02
2021-03-05T18:30:54,70-79,106583,62546,169129,17.74,10.41,2021-03-06T05:38:02
2021-03-05T18:30:54,80-89,848343,109933,958276,232.58,30.14,2021-03-06T05:38:02
2021-03-05T18:30:54,90+,251495,68379,319874,316.52,86.06,2021-03-06T05:38:02
2021-03-05T18:30:54,16+,3524998,1586126,5111124,67.99,30.59,2021-03-06T05:38:02
