data,fascia_eta,dosi_somministrate_prima,dosi_somministrate_seconda,dosi_somministrate_tot,dosi_somministrate_prima_per_1k_abitanti,dosi_somministrate_seconda_per_1k_abitanti,data_ultimo_check
2021-02-05T18:01:13,16-19,1424,829,2253,0.61,0.36,2021-02-06T05:40:01
2021-02-05T18:01:13,20-29,143073,104279,247352,23.24,16.94,2021-02-06T05:40:01
2021-02-05T18:01:13,30-39,213485,164868,378353,30.71,23.71,2021-02-06T05:40:01
2021-02-05T18:01:13,40-49,267227,205410,472637,29.56,22.72,2021-02-06T05:40:01
2021-02-05T18:01:13,50-59,357884,279200,637084,37.67,29.39,2021-02-06T05:40:01
2021-02-05T18:01:13,60-69,221411,172790,394201,29.82,23.27,2021-02-06T05:40:01
2021-02-05T18:01:13,70-79,53130,31294,84424,8.84,5.21,2021-02-06T05:40:01
2021-02-05T18:01:13,80-89,78667,35510,114177,21.57,9.74,2021-02-06T05:40:01
2021-02-05T18:01:13,90+,60831,30091,90922,76.56,37.87,2021-02-06T05:40:01
2021-02-05T18:01:13,16+,1397132,1024271,2421403,26.95,19.76,2021-02-06T05:40:01
