data,fascia_eta,dosi_somministrate_prima,dosi_somministrate_seconda,dosi_somministrate_tot,dosi_somministrate_prima_per_1k_abitanti,dosi_somministrate_seconda_per_1k_abitanti,data_ultimo_check
2021-05-28T19:07:16,16-19,86230,31148,117378,37.13,13.41,2021-05-29T04:04:01
2021-05-28T19:07:16,20-29,874255,468165,1342420,141.99,76.04,2021-05-29T04:04:01
2021-05-28T19:07:16,30-39,1179916,662361,1842277,169.71,95.27,2021-05-29T04:04:01
2021-05-28T19:07:16,40-49,2058094,987511,3045605,227.67,109.24,2021-05-29T04:04:01
2021-05-28T19:07:16,50-59,4035913,1486887,5522800,424.78,156.49,2021-05-29T04:04:01
2021-05-28T19:07:16,60-69,5225701,1682797,6908498,703.78,226.63,2021-05-29T04:04:01
2021-05-28T19:07:16,70-79,4926797,1873979,6800776,820.2,311.97,2021-05-29T04:04:01
2021-05-28T19:07:16,80-89,3337976,3022082,6360058,915.15,828.54,2021-05-29T04:04:01
2021-05-28T19:07:16,90+,765896,668433,1434329,963.91,841.25,2021-05-29T04:04:01
2021-05-28T19:07:16,16+,22490778,10883363,33374141,433.79,209.91,2021-05-29T04:04:01
