data,fascia_eta,dosi_somministrate_prima,dosi_somministrate_seconda,dosi_somministrate_tot,dosi_somministrate_prima_per_1k_abitanti,dosi_somministrate_seconda_per_1k_abitanti,data_ultimo_check
2021-01-18T23:30:00,16-19,3385,0,3385,1.46,0.0,2021-01-18T23:58:02
2021-01-18T23:30:00,20-29,135033,500,135533,21.93,0.08,2021-01-18T23:58:02
2021-01-18T23:30:00,30-39,184952,982,185934,26.6,0.14,2021-01-18T23:58:02
2021-01-18T23:30:00,40-49,239782,1324,241106,26.53,0.15,2021-01-18T23:58:02
2021-01-18T23:30:00,50-59,311787,1858,313645,32.82,0.2,2021-01-18T23:58:02
2021-01-18T23:30:00,60-69,177176,1279,178455,23.86,0.17,2021-01-18T23:58:02
2021-01-18T23:30:00,70-79,37511,103,37614,6.24,0.02,2021-01-18T23:58:02
2021-01-18T23:30:00,80-89,54765,70,54835,15.01,0.02,2021-01-18T23:58:02
2021-01-18T23:30:00,90+,36204,53,36257,45.56,0.07,2021-01-18T23:58:02
2021-01-18T23:30:00,16+,1180595,6169,1186764,22.77,0.12,2021-01-18T23:58:02
