data,fascia_eta,dosi_somministrate_prima,dosi_somministrate_seconda,dosi_somministrate_tot,dosi_somministrate_prima_per_1k_abitanti,dosi_somministrate_seconda_per_1k_abitanti,data_ultimo_check
2021-02-22T14:00:27,16-19,0,8,8,0.0,0.0,2021-02-22T16:32:01
2021-02-22T14:00:27,20-29,2279,3017,5296,0.37,0.49,2021-02-22T16:32:01
2021-02-22T14:00:27,30-39,5157,6878,12035,0.74,0.99,2021-02-22T16:32:01
2021-02-22T14:00:27,40-49,9404,13985,23389,1.04,1.55,2021-02-22T16:32:01
2021-02-22T14:00:27,50-59,7963,11032,18995,0.84,1.16,2021-02-22T16:32:01
2021-02-22T14:00:27,60-69,78,275,353,0.01,0.04,2021-02-22T16:32:01
2021-02-22T14:00:27,70-79,2,13,15,0.0,0.0,2021-02-22T16:32:01
2021-02-22T14:00:27,80-89,15,4,19,0.0,0.0,2021-02-22T16:32:01
2021-02-22T14:00:27,90+,4,4,8,0.01,0.01,2021-02-22T16:32:01
2021-02-22T14:00:27,16+,24902,35216,60118,0.48,0.68,2021-02-22T16:32:01
