data,fascia_eta,dosi_somministrate_prima,dosi_somministrate_seconda,dosi_somministrate_tot,dosi_somministrate_prima_per_1k_abitanti,dosi_somministrate_seconda_per_1k_abitanti,data_ultimo_check
2021-05-11T19:07:40,16-19,43835,15413,59248,18.88,6.64,2021-05-11T21:24:02
2021-05-11T19:07:40,20-29,659866,335430,995296,107.17,54.48,2021-05-11T21:24:02
2021-05-11T19:07:40,30-39,927079,456834,1383913,133.34,65.71,2021-05-11T21:24:02
2021-05-11T19:07:40,40-49,1386033,622545,2008578,153.33,68.87,2021-05-11T21:24:02
2021-05-11T19:07:40,50-59,2244803,864357,3109160,236.27,90.97,2021-05-11T21:24:02
2021-05-11T19:07:40,60-69,3677069,806559,4483628,495.22,108.62,2021-05-11T21:24:02
2021-05-11T19:07:40,70-79,4408627,1007244,5415871,733.94,167.68,2021-05-11T21:24:02
2021-05-11T19:07:40,80-89,3243577,2798177,6041754,889.27,767.15,2021-05-11T21:24:02
2021-05-11T19:07:40,90+,735250,595181,1330431,925.34,749.06,2021-05-11T21:24:02
2021-05-11T19:07:40,16+,17326139,7501740,24827879,334.18,144.69,2021-05-11T21:24:02
