data,fascia_eta,dosi_somministrate_prima,dosi_somministrate_seconda,dosi_somministrate_tot,dosi_somministrate_prima_per_1k_abitanti,dosi_somministrate_seconda_per_1k_abitanti,data_ultimo_check
2021-02-16T07:00:30,16-19,2058,1263,3321,0.89,0.54,2021-02-16T10:22:01
2021-02-16T07:00:30,20-29,187406,132178,319584,30.44,21.47,2021-02-16T10:22:01
2021-02-16T07:00:30,30-39,264567,199333,463900,38.05,28.67,2021-02-16T10:22:01
2021-02-16T07:00:30,40-49,327599,249336,576935,36.24,27.58,2021-02-16T10:22:01
2021-02-16T07:00:30,50-59,424218,336206,760424,44.65,35.39,2021-02-16T10:22:01
2021-02-16T07:00:30,60-69,263471,208994,472465,35.48,28.15,2021-02-16T10:22:01
2021-02-16T07:00:30,70-79,70982,46373,117355,11.82,7.72,2021-02-16T10:22:01
2021-02-16T07:00:30,80-89,148243,64961,213204,40.64,17.81,2021-02-16T10:22:01
2021-02-16T07:00:30,90+,79529,50415,129944,100.09,63.45,2021-02-16T10:22:01
2021-02-16T07:00:30,16+,1768073,1289059,3057132,34.1,24.86,2021-02-16T10:22:01
