data,fascia_eta,dosi_somministrate_prima,dosi_somministrate_seconda,dosi_somministrate_tot,dosi_somministrate_prima_per_1k_abitanti,dosi_somministrate_seconda_per_1k_abitanti,data_ultimo_check
2021-05-08T15:27:19,16-19,38737,13470,52207,16.68,5.8,2021-05-08T18:00:02
2021-05-08T15:27:19,20-29,628104,318475,946579,102.01,51.72,2021-05-08T18:00:02
2021-05-08T15:27:19,30-39,889647,429295,1318942,127.96,61.74,2021-05-08T18:00:02
2021-05-08T15:27:19,40-49,1324691,573587,1898278,146.54,63.45,2021-05-08T18:00:02
2021-05-08T15:27:19,50-59,2032441,795600,2828041,213.91,83.74,2021-05-08T18:00:02
2021-05-08T15:27:19,60-69,3250873,723196,3974069,437.82,97.4,2021-05-08T18:00:02
2021-05-08T15:27:19,70-79,4232015,849501,5081516,704.53,141.42,2021-05-08T18:00:02
2021-05-08T15:27:19,80-89,3222883,2723674,5946557,883.59,746.73,2021-05-08T18:00:02
2021-05-08T15:27:19,90+,728139,575074,1303213,916.39,723.75,2021-05-08T18:00:02
2021-05-08T15:27:19,16+,16347530,7001872,23349402,315.3,135.05,2021-05-08T18:00:02
