data,fascia_eta,dosi_somministrate_prima,dosi_somministrate_seconda,dosi_somministrate_tot,dosi_somministrate_prima_per_1k_abitanti,dosi_somministrate_seconda_per_1k_abitanti,data_ultimo_check
2021-02-14T18:00:49,16-19,1946,1246,3192,0.84,0.54,2021-02-15T03:48:01
2021-02-14T18:00:49,20-29,180966,131506,312472,29.39,21.36,2021-02-15T03:48:01
2021-02-14T18:00:49,30-39,256294,198403,454697,36.86,28.54,2021-02-15T03:48:01
2021-02-14T18:00:49,40-49,317787,248227,566014,35.15,27.46,2021-02-15T03:48:01
2021-02-14T18:00:49,50-59,414314,334638,748952,43.61,35.22,2021-02-15T03:48:01
2021-02-14T18:00:49,60-69,257831,208103,465934,34.72,28.03,2021-02-15T03:48:01
2021-02-14T18:00:49,70-79,68181,45874,114055,11.35,7.64,2021-02-15T03:48:01
2021-02-14T18:00:49,80-89,131215,64090,195305,35.97,17.57,2021-02-15T03:48:01
2021-02-14T18:00:49,90+,76562,49681,126243,96.36,62.53,2021-02-15T03:48:01
2021-02-14T18:00:49,16+,1705096,1281768,2986864,32.89,24.72,2021-02-15T03:48:01
