data,fascia_eta,dosi_somministrate_prima,dosi_somministrate_seconda,dosi_somministrate_tot,dosi_somministrate_prima_per_1k_abitanti,dosi_somministrate_seconda_per_1k_abitanti,data_ultimo_check
2021-04-17T04:06:24,16-19,16207,5459,21666,6.98,2.35,2021-04-17T10:58:02
2021-04-17T04:06:24,20-29,494018,256689,750707,80.23,41.69,2021-04-17T10:58:02
2021-04-17T04:06:24,30-39,726900,342301,1069201,104.55,49.23,2021-04-17T10:58:02
2021-04-17T04:06:24,40-49,1041871,427373,1469244,115.25,47.28,2021-04-17T10:58:02
2021-04-17T04:06:24,50-59,1387574,565234,1952808,146.04,59.49,2021-04-17T10:58:02
2021-04-17T04:06:24,60-69,1188292,405011,1593303,160.04,54.55,2021-04-17T10:58:02
2021-04-17T04:06:24,70-79,1961484,222487,2183971,326.54,37.04,2021-04-17T10:58:02
2021-04-17T04:06:24,80-89,2873917,1692318,4566235,787.92,463.97,2021-04-17T10:58:02
2021-04-17T04:06:24,90+,621358,415271,1036629,782.0,522.63,2021-04-17T10:58:02
2021-04-17T04:06:24,16+,10311621,4332143,14643764,198.89,83.56,2021-04-17T10:58:02
