data,fascia_eta,dosi_somministrate_prima,dosi_somministrate_seconda,dosi_somministrate_tot,dosi_somministrate_prima_per_1k_abitanti,dosi_somministrate_seconda_per_1k_abitanti,data_ultimo_check
2021-05-24T19:12:55,16-19,71314,26318,97632,30.71,11.33,2021-05-24T23:18:02
2021-05-24T19:12:55,20-29,819416,425325,1244741,133.08,69.08,2021-05-24T23:18:02
2021-05-24T19:12:55,30-39,1118076,598022,1716098,160.81,86.01,2021-05-24T23:18:02
2021-05-24T19:12:55,40-49,1845104,874333,2719437,204.11,96.72,2021-05-24T23:18:02
2021-05-24T19:12:55,50-59,3568683,1265781,4834464,375.6,133.22,2021-05-24T23:18:02
2021-05-24T19:12:55,60-69,4967608,1414703,6382311,669.02,190.53,2021-05-24T23:18:02
2021-05-24T19:12:55,70-79,4840766,1680998,6521764,805.88,279.85,2021-05-24T23:18:02
2021-05-24T19:12:55,80-89,3316493,2987106,6303599,909.26,818.95,2021-05-24T23:18:02
2021-05-24T19:12:55,90+,758555,655501,1414056,954.67,824.97,2021-05-24T23:18:02
2021-05-24T19:12:55,16+,21306015,9928087,31234102,410.94,191.49,2021-05-24T23:18:02
