data,fascia_eta,dosi_somministrate,popolazione,dosi_somministrate_per_1k_abitanti,data_ultimo_check
2021-01-07T23:34:22,16-19,473,2322160,0.2,2021-01-07T23:58:02
2021-01-07T23:34:22,20-29,41623,6157183,6.76,2021-01-07T23:58:02
2021-01-07T23:34:22,30-39,70216,6952720,10.1,2021-01-07T23:58:02
2021-01-07T23:34:22,40-49,89488,9039799,9.9,2021-01-07T23:58:02
2021-01-07T23:34:22,50-59,116080,9501180,12.22,2021-01-07T23:58:02
2021-01-07T23:34:22,60-69,63716,7425175,8.58,2021-01-07T23:58:02
2021-01-07T23:34:22,70-79,7680,6006830,1.28,2021-01-07T23:58:02
2021-01-07T23:34:22,80-89,9927,3647476,2.72,2021-01-07T23:58:02
2021-01-07T23:34:22,90+,7841,794572,9.87,2021-01-07T23:58:02
2021-01-07T23:34:22,16+,407044,51847095,7.85,2021-01-07T23:58:02
