data,fascia_eta,dosi_somministrate_prima,dosi_somministrate_seconda,dosi_somministrate_tot,dosi_somministrate_prima_per_1k_abitanti,dosi_somministrate_seconda_per_1k_abitanti,data_ultimo_check
2021-01-28T21:03:24,16-19,1340,110,1450,0.58,0.05,2021-01-29T01:02:02
2021-01-28T21:03:24,20-29,135520,33845,169365,22.01,5.5,2021-01-29T01:02:02
2021-01-28T21:03:24,30-39,202889,66211,269100,29.18,9.52,2021-01-29T01:02:02
2021-01-28T21:03:24,40-49,253567,81098,334665,28.05,8.97,2021-01-29T01:02:02
2021-01-28T21:03:24,50-59,340589,110586,451175,35.85,11.64,2021-01-29T01:02:02
2021-01-28T21:03:24,60-69,209870,67660,277530,28.26,9.11,2021-01-29T01:02:02
2021-01-28T21:03:24,70-79,48984,7128,56112,8.15,1.19,2021-01-29T01:02:02
2021-01-28T21:03:24,80-89,71018,8011,79029,19.47,2.2,2021-01-29T01:02:02
2021-01-28T21:03:24,90+,55011,7188,62199,69.23,9.05,2021-01-29T01:02:02
2021-01-28T21:03:24,16+,1318788,381837,1700625,25.44,7.36,2021-01-29T01:02:02
