data,fascia_eta,dosi_somministrate_prima,dosi_somministrate_seconda,dosi_somministrate_tot,dosi_somministrate_prima_per_1k_abitanti,dosi_somministrate_seconda_per_1k_abitanti,data_ultimo_check
2021-05-09T15:21:38,16-19,40387,14176,54563,17.39,6.1,2021-05-09T20:44:02
2021-05-09T15:21:38,20-29,637155,324091,961246,103.48,52.64,2021-05-09T20:44:02
2021-05-09T15:21:38,30-39,901099,438435,1339534,129.6,63.06,2021-05-09T20:44:02
2021-05-09T15:21:38,40-49,1344218,589811,1934029,148.7,65.25,2021-05-09T20:44:02
2021-05-09T15:21:38,50-59,2099557,818486,2918043,220.98,86.15,2021-05-09T20:44:02
2021-05-09T15:21:38,60-69,3384666,752125,4136791,455.84,101.29,2021-05-09T20:44:02
2021-05-09T15:21:38,70-79,4292008,897422,5189430,714.52,149.4,2021-05-09T20:44:02
2021-05-09T15:21:38,80-89,3229626,2752726,5982352,885.44,754.69,2021-05-09T20:44:02
2021-05-09T15:21:38,90+,729996,583096,1313092,918.73,733.85,2021-05-09T20:44:02
2021-05-09T15:21:38,16+,16658712,7170368,23829080,321.3,138.3,2021-05-09T20:44:02
