data,fascia_eta,dosi_somministrate_prima,dosi_somministrate_seconda,dosi_somministrate_tot,dosi_somministrate_prima_per_1k_abitanti,dosi_somministrate_seconda_per_1k_abitanti,data_ultimo_check
2021-05-06T20:13:48,16-19,35833,12392,48225,15.43,5.34,2021-05-07T05:06:02
2021-05-06T20:13:48,20-29,611888,308248,920136,99.38,50.06,2021-05-07T05:06:02
2021-05-06T20:13:48,30-39,870488,414077,1284565,125.2,59.56,2021-05-07T05:06:02
2021-05-06T20:13:48,40-49,1289820,547153,1836973,142.68,60.53,2021-05-07T05:06:02
2021-05-06T20:13:48,50-59,1920659,758430,2679089,202.15,79.82,2021-05-07T05:06:02
2021-05-06T20:13:48,60-69,3008385,678332,3686717,405.16,91.36,2021-05-07T05:06:02
2021-05-06T20:13:48,70-79,4102072,760897,4862969,682.9,126.67,2021-05-07T05:06:02
2021-05-06T20:13:48,80-89,3206777,2657895,5864672,879.18,728.69,2021-05-07T05:06:02
2021-05-06T20:13:48,90+,722675,560802,1283477,909.51,705.79,2021-05-07T05:06:02
2021-05-06T20:13:48,16+,15768597,6698226,22466823,304.14,129.19,2021-05-07T05:06:02
