data,fascia_eta,dosi_somministrate_prima,dosi_somministrate_seconda,dosi_somministrate_tot,dosi_somministrate_prima_per_1k_abitanti,dosi_somministrate_seconda_per_1k_abitanti,data_ultimo_check
2021-04-12T04:06:18,16-19,13325,4486,17811,5.74,1.93,2021-04-12T06:50:02
2021-04-12T04:06:18,20-29,473323,248367,721690,76.87,40.34,2021-04-12T06:50:02
2021-04-12T04:06:18,30-39,699718,331697,1031415,100.64,47.71,2021-04-12T06:50:02
2021-04-12T04:06:18,40-49,995685,411408,1407093,110.14,45.51,2021-04-12T06:50:02
2021-04-12T04:06:18,50-59,1310696,539799,1850495,137.95,56.81,2021-04-12T06:50:02
2021-04-12T04:06:18,60-69,985732,371937,1357669,132.76,50.09,2021-04-12T06:50:02
2021-04-12T04:06:18,70-79,1353150,164274,1517424,225.27,27.35,2021-04-12T06:50:02
2021-04-12T04:06:18,80-89,2695446,1474952,4170398,738.99,404.38,2021-04-12T06:50:02
2021-04-12T04:06:18,90+,581257,377744,959001,731.53,475.41,2021-04-12T06:50:02
2021-04-12T04:06:18,16+,9108332,3924664,13032996,175.68,75.7,2021-04-12T06:50:02
